mp_name,constituency,region,country,party,party_abbreviation,signed_call
Stephen Kinnock,Aberafan Maesteg,Wales,Wales,Labour,Lab,FALSE
Kirsty Blackman,Aberdeen North,Scotland,Scotland,Scottish National Party,SNP,FALSE
Stephen Flynn,Aberdeen South,Scotland,Scotland,Scottish National Party,SNP,FALSE
Seamus Logan,Aberdeenshire North and Moray East,Scotland,Scotland,Scottish National Party,SNP,FALSE
Kenneth Stevenson,Airdrie and Shotts,Scotland,Scotland,Labour,Lab,FALSE
Alex Baker,Aldershot,South East,England,Labour,Lab,FALSE
Wendy Morton,Aldridge-Brownhills,West Midlands,England,Conservative,Con,FALSE
Brian Leishman,Alloa and Grangemouth,Scotland,Scotland,Labour,Lab,FALSE
Connor Rand,Altrincham and Sale West,North West,England,Labour,Lab,FALSE
Mark Tami,Alyn and Deeside,Wales,Wales,Labour,Lab,FALSE
Linsey Farnsworth,Amber Valley,East Midlands,England,Labour,Lab,FALSE
Dave Doogan,Angus and Perthshire Glens,Scotland,Scotland,Scottish National Party,SNP,FALSE
Stephen Gethins,Arbroath and Broughty Ferry,Scotland,Scotland,Scottish National Party,SNP,FALSE
Brendan O'Hara,"Argyll, Bute and South Lochaber",Scotland,Scotland,Scottish National Party,SNP,FALSE
Andrew Griffith,Arundel and South Downs,South East,England,Conservative,Con,FALSE
Lee Anderson,Ashfield,East Midlands,England,Reform UK,RUK,FALSE
Sojan Joseph,Ashford,South East,England,Labour,Lab,FALSE
Angela Rayner,Ashton-under-Lyne,North West,England,Labour,Lab,FALSE
Laura Kyrke-Smith,Aylesbury,South East,England,Labour,Lab,FALSE
Elaine Stewart,"Ayr, Carrick and Cumnock",Scotland,Scotland,Labour,Lab,FALSE
Sean Woodcock,Banbury,South East,England,Labour,Lab,FALSE
Claire Hughes,Bangor Aberconwy,Wales,Wales,Labour,Lab,FALSE
Nesil Caliskan,Barking,London,England,Labour,Lab,FALSE
Dan Jarvis,Barnsley North,Yorkshire and The Humber,England,Labour,Lab,FALSE
Stephanie Peacock,Barnsley South,Yorkshire and The Humber,England,Labour,Lab,FALSE
